Element,Branch_ID,P,Q,V,xi,R,L,Filename
Y22,a,-0.3,-0.5,0.9,-3.684,-151.54928144626916,-0.1772795798519374,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y22,b,-0.3,-0.5,0.9,-3.684,-3.277739885995074,-0.0155067586575787,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y22,c,-0.3,-0.5,0.9,-3.684,-23.96513219362659,-0.2324765883943861,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y22,d,-0.3,-0.5,0.9,-3.684,-2762.272864198451,-185.9234487915921,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y22,e,-0.3,-0.5,0.9,-3.684,38.46003979229818,2.8227388445939585,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y22,f,-0.3,-0.5,0.9,-3.684,-6264.255326951194,-613.3504878227078,iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv
Y22,a,-0.3,-0.5,0.9,-7.895,-69.20774482414213,-0.0809579551142508,iP01_iV01_iQ02_iX03__P-300m_Q-500m_V+900m_xi-7895md.csv
Y22,b,-0.3,-0.5,0.9,-7.895,-5.019121985220226,-0.023745115843483,iP01_iV01_iQ02_iX03__P-300m_Q-500m_V+900m_xi-7895md.csv
Y22,c,-0.3,-0.5,0.9,-7.895,-11.79192291687803,-0.1143889375688311,iP01_iV01_iQ02_iX03__P-300m_Q-500m_V+900m_xi-7895md.csv
Y22,d,-0.3,-0.5,0.9,-7.895,-1371.9574378129762,-92.34390347439542,iP01_iV01_iQ02_iX03__P-300m_Q-500m_V+900m_xi-7895md.csv
