Element,P,Q,V,xi,R,L,Filename
Y11,-0.3,-0.5,0.95,-10.0,-1769.994285181229,-130.3763608251774,iP01_iV02_iQ02_iX01__P-300m_Q-500m_V+950m_xi-10000md.csv
Y11,-0.3,-0.5,0.95,-6.842,-1873.5195253086647,-138.00194600684458,iP01_iV02_iQ02_iX04__P-300m_Q-500m_V+950m_xi-6842md.csv
Y11,-0.3,-0.5,0.95,-7.895,-1787.6237133433694,-131.67492995715605,iP01_iV02_iQ02_iX03__P-300m_Q-500m_V+950m_xi-7895md.csv
Y11,-0.3,-0.5,0.95,-5.789,-2028.783923220871,-149.4385980201544,iP01_iV02_iQ02_iX05__P-300m_Q-500m_V+950m_xi-5789md.csv
Y11,-0.3,-0.5,0.95,-3.684,-2733.395105000616,-201.33969320594687,iP01_iV02_iQ02_iX07__P-300m_Q-500m_V+950m_xi-3684md.csv
Y11,-0.3,-0.5,0.95,-4.737,-2288.7950662161265,-168.5908111424709,iP01_iV02_iQ02_iX06__P-300m_Q-500m_V+950m_xi-4737md.csv
Y11,-0.3,-0.5,0.95,-1.579,-5589.541244832716,-411.7211268161616,iP01_iV02_iQ02_iX09__P-300m_Q-500m_V+950m_xi-1579md.csv
Y11,-0.3,-0.5,0.95,0.526,14946.691748260177,1100.9612402977873,iP01_iV02_iQ02_iX11__P-300m_Q-500m_V+950m_xi+526md.csv
Y11,-0.3,-0.5,0.95,-2.632,-3573.9202228370946,-263.2521009177323,iP01_iV02_iQ02_iX08__P-300m_Q-500m_V+950m_xi-2632md.csv
Y11,-0.3,-0.5,0.95,1.579,4728.5093024905655,348.2982047382464,iP01_iV02_iQ02_iX12__P-300m_Q-500m_V+950m_xi+1579md.csv
Y11,-0.3,-0.5,0.95,-0.526,-15801.847258937296,-1163.9514720592474,iP01_iV02_iQ02_iX10__P-300m_Q-500m_V+950m_xi-526md.csv
Y11,-0.3,-0.5,0.95,4.737,1370.7715326776774,100.9699318876656,iP01_iV02_iQ02_iX15__P-300m_Q-500m_V+950m_xi+4737md.csv
Y11,-0.3,-0.5,0.95,5.789,1075.829101141622,79.24470886437967,iP01_iV02_iQ02_iX16__P-300m_Q-500m_V+950m_xi+5789md.csv
Y11,-0.3,-0.5,0.95,2.632,2700.823419685582,198.9404865407569,iP01_iV02_iQ02_iX13__P-300m_Q-500m_V+950m_xi+2632md.csv
Y11,-0.3,-0.5,0.95,6.842,875.0887850083233,64.45833859267434,iP01_iV02_iQ02_iX17__P-300m_Q-500m_V+950m_xi+6842md.csv
Y11,-0.3,-0.5,0.95,8.947,622.0057409851215,45.8164441749885,iP01_iV02_iQ02_iX19__P-300m_Q-500m_V+950m_xi+8947md.csv
Y11,-0.3,-0.5,0.95,7.895,730.5107889360097,53.80883915544067,iP01_iV02_iQ02_iX18__P-300m_Q-500m_V+950m_xi+7895md.csv
Y11,-0.3,0.0,0.95,-10.0,1545.7907832257197,113.86170983681605,iP01_iV02_iQ03_iX01__P-300m_Q+0m_V+950m_xi-10000md.csv
Y11,-0.3,-0.5,0.95,10.0,537.9786577076228,39.62707661264756,iP01_iV02_iQ02_iX20__P-300m_Q-500m_V+950m_xi+10000md.csv
Y11,-0.3,-0.5,0.95,3.684,1841.5770308865704,135.64908711197674,iP01_iV02_iQ02_iX14__P-300m_Q-500m_V+950m_xi+3684md.csv
Y11,-0.3,0.0,0.95,-8.947,1926.9878363178905,141.94037974824647,iP01_iV02_iQ03_iX02__P-300m_Q+0m_V+950m_xi-8947md.csv
Y11,-0.3,0.0,0.95,-7.895,2470.6509963268013,181.98617311180772,iP01_iV02_iQ03_iX03__P-300m_Q+0m_V+950m_xi-7895md.csv
Y11,-0.3,0.0,0.95,-3.684,11288.757583264503,831.5208263034999,iP01_iV02_iQ03_iX07__P-300m_Q+0m_V+950m_xi-3684md.csv
Y11,-0.3,0.0,0.95,-5.789,4580.752409140728,337.41454879214854,iP01_iV02_iQ03_iX05__P-300m_Q+0m_V+950m_xi-5789md.csv
Y11,-0.3,0.0,0.95,-6.842,3284.1444636748165,241.90744544763604,iP01_iV02_iQ03_iX04__P-300m_Q+0m_V+950m_xi-6842md.csv
Y11,-0.3,0.0,0.95,-2.632,22111.02829049225,1628.6805913162627,iP01_iV02_iQ03_iX08__P-300m_Q+0m_V+950m_xi-2632md.csv
Y11,-0.3,0.0,0.95,-4.737,6835.149819749885,503.4716364854093,iP01_iV02_iQ03_iX06__P-300m_Q+0m_V+950m_xi-4737md.csv
Y11,-0.3,0.0,0.95,-1.579,61391.60746791312,4522.055235520393,iP01_iV02_iQ03_iX09__P-300m_Q+0m_V+950m_xi-1579md.csv
Y11,-0.3,0.0,0.95,0.526,552408.9080838709,40690.02355043055,iP01_iV02_iQ03_iX11__P-300m_Q+0m_V+950m_xi+526md.csv
Y11,-0.3,0.0,0.95,1.579,61391.60746791312,4522.055235520393,iP01_iV02_iQ03_iX12__P-300m_Q+0m_V+950m_xi+1579md.csv
Y11,-0.3,0.0,0.95,-0.526,552408.9080838709,40690.02355043055,iP01_iV02_iQ03_iX10__P-300m_Q+0m_V+950m_xi-526md.csv
Y11,-0.3,0.0,0.95,2.632,22111.02829049225,1628.6805913162627,iP01_iV02_iQ03_iX13__P-300m_Q+0m_V+950m_xi+2632md.csv
Y11,-0.3,0.0,0.95,5.789,4580.752409140728,337.41454879214854,iP01_iV02_iQ03_iX16__P-300m_Q+0m_V+950m_xi+5789md.csv
Y11,-0.3,0.0,0.95,3.684,11288.757583264503,831.5208263034999,iP01_iV02_iQ03_iX14__P-300m_Q+0m_V+950m_xi+3684md.csv
Y11,-0.3,0.0,0.95,4.737,6835.149819749885,503.4716364854093,iP01_iV02_iQ03_iX15__P-300m_Q+0m_V+950m_xi+4737md.csv
Y11,-0.3,0.0,0.95,7.895,2470.6509963268013,181.98617311180772,iP01_iV02_iQ03_iX18__P-300m_Q+0m_V+950m_xi+7895md.csv
Y11,-0.3,0.0,0.95,6.842,3284.1444636748165,241.90744544763604,iP01_iV02_iQ03_iX17__P-300m_Q+0m_V+950m_xi+6842md.csv
Y11,-0.3,0.0,0.95,10.0,1545.7907832257197,113.86170983681605,iP01_iV02_iQ03_iX20__P-300m_Q+0m_V+950m_xi+10000md.csv
Y11,-0.3,0.5,0.95,-8.947,622.0057409851215,45.8164441749885,iP01_iV02_iQ04_iX02__P-300m_Q+500m_V+950m_xi-8947md.csv
Y11,-0.3,0.0,0.95,8.947,1926.9878363178905,141.94037974824647,iP01_iV02_iQ03_iX19__P-300m_Q+0m_V+950m_xi+8947md.csv
Y11,-0.3,0.5,0.95,-7.895,730.5107889360097,53.80883915544067,iP01_iV02_iQ04_iX03__P-300m_Q+500m_V+950m_xi-7895md.csv
Y11,-0.3,0.5,0.95,-6.842,875.0887850083233,64.45833859267434,iP01_iV02_iQ04_iX04__P-300m_Q+500m_V+950m_xi-6842md.csv
Y11,-0.3,0.5,0.95,-10.0,537.9786577076228,39.62707661264756,iP01_iV02_iQ04_iX01__P-300m_Q+500m_V+950m_xi-10000md.csv
Y11,-0.3,0.5,0.95,-5.789,1075.829101141622,79.24470886437967,iP01_iV02_iQ04_iX05__P-300m_Q+500m_V+950m_xi-5789md.csv
Y11,-0.3,0.5,0.95,-4.737,1370.7715326776774,100.9699318876656,iP01_iV02_iQ04_iX06__P-300m_Q+500m_V+950m_xi-4737md.csv
Y11,-0.3,0.5,0.95,-3.684,1841.5770308865704,135.64908711197674,iP01_iV02_iQ04_iX07__P-300m_Q+500m_V+950m_xi-3684md.csv
Y11,-0.3,0.5,0.95,-0.526,14946.691748260177,1100.9612402977873,iP01_iV02_iQ04_iX10__P-300m_Q+500m_V+950m_xi-526md.csv
